Call Type,Incident Number,Call Final Disposition,Neighborhooods - Analysis Boundaries
Watercraft in Distress,12,Fire,Financial District/South Beach
Other,3,Against Medical Advice,Outer Mission
Medical Incident,2221,Patient Declined Transport,Tenderloin
Traffic Collision,43,Against Medical Advice,Inner Richmond
Citizen Assist / Service Call,18,Code 2 Transport,Bayview Hunters Point
Medical Incident,45,SFPD,Western Addition
Water Rescue,20,No Merit,Sunset/Parkside
Citizen Assist / Service Call,1,Other,Mission Bay
Traffic Collision,68,Cancelled,Bayview Hunters Point
HazMat,3,Fire,Glen Park
Vehicle Fire,13,Fire,Western Addition
Citizen Assist / Service Call,2,No Merit,Marina
Other,2,Patient Declined Transport,Glen Park
Traffic Collision,3,Gone on Arrival,North Beach
Medical Incident,5,CHP,Sunset/Parkside
Gas Leak (Natural and LP Gases),4,No Merit,Sunset/Parkside
Traffic Collision,43,Unable to Locate,Tenderloin
Medical Incident,2,Duplicate,West of Twin Peaks
Vehicle Fire,14,Code 3 Transport,Bayview Hunters Point
Medical Incident,39,Unable to Locate,Golden Gate Park
Other,1,Patient Declined Transport,North Beach
Traffic Collision,61,Cancelled,Treasure Island
Other,9,SFPD,Financial District/South Beach
Gas Leak (Natural and LP Gases),4,Patient Declined Transport,Twin Peaks
Medical Incident,184,Patient Declined Transport,Haight Ashbury
Medical Incident,7,Duplicate,Mission
Other,1,Gone on Arrival,Financial District/South Beach
Traffic Collision,4,SFPD,Glen Park
Medical Incident,105,Cancelled,Potrero Hill
Traffic Collision,14,Code 2 Transport,None
Outside Fire,11,Fire,Twin Peaks
Traffic Collision,10,Cancelled,Noe Valley
Odor (Strange / Unknown),2,SFPD,Mission
Alarms,110,Fire,Seacliff
Traffic Collision,23,Against Medical Advice,Castro/Upper Market
Traffic Collision,6,No Merit,Seacliff
Structure Fire,10,Unable to Locate,West of Twin Peaks
Medical Incident,112,Cancelled,Chinatown
Traffic Collision,134,Patient Declined Transport,Financial District/South Beach
Alarms,124,Fire,McLaren Park
Alarms,4,No Merit,Hayes Valley
Traffic Collision,2,SFPD,North Beach
Medical Incident,98,Unable to Locate,Bernal Heights
Traffic Collision,61,Against Medical Advice,Outer Richmond
Other,3,Code 3 Transport,Sunset/Parkside
Confined Space / Structure Collapse,9,Code 3 Transport,Mission
Traffic Collision,8,Fire,Hayes Valley
Medical Incident,113,Fire,Western Addition
Other,1,Other,Inner Richmond
Outside Fire,1,Other,Haight Ashbury
Odor (Strange / Unknown),1,No Merit,Western Addition
Electrical Hazard,1,No Merit,Western Addition
Medical Incident,89,Code 3 Transport,Treasure Island
Other,49,Fire,Bernal Heights
Traffic Collision,27,Other,Outer Mission
Medical Incident,121,Medical Examiner,Excelsior
Alarms,33,Code 2 Transport,Tenderloin
Medical Incident,968,Code 3 Transport,Bayview Hunters Point
Other,3,SFPD,Oceanview/Merced/Ingleside
Structure Fire,15,No Merit,Financial District/South Beach
Water Rescue,15,Medical Examiner,Mission Bay
Medical Incident,8,Gone on Arrival,Mission Bay
Outside Fire,4,No Merit,Visitacion Valley
Citizen Assist / Service Call,46,Fire,Excelsior
Medical Incident,149,Patient Declined Transport,Inner Sunset
Traffic Collision,10,Code 3 Transport,Chinatown
Medical Incident,116,Code 3 Transport,Noe Valley
Outside Fire,4,Cancelled,Mission
Gas Leak (Natural and LP Gases),5,No Merit,Presidio Heights
Smoke Investigation (Outside),4,No Merit,Tenderloin
High Angle Rescue,7,Fire,Financial District/South Beach
Other,14,Fire,Golden Gate Park
Fuel Spill,1,No Merit,Haight Ashbury
Medical Incident,9,SFPD,Mission Bay
Medical Incident,24,Against Medical Advice,Twin Peaks
Electrical Hazard,2,Other,Sunset/Parkside
Vehicle Fire,2,Unable to Locate,Bernal Heights
Traffic Collision,38,Patient Declined Transport,Oceanview/Merced/Ingleside
Other,1,Medical Examiner,Castro/Upper Market
Citizen Assist / Service Call,1,No Merit,Nob Hill
Traffic Collision,21,Against Medical Advice,Lakeshore
Water Rescue,8,Cancelled,None
Traffic Collision,8,Code 3 Transport,Potrero Hill
Electrical Hazard,94,Fire,Mission
Train / Rail Incident,47,Fire,Financial District/South Beach
Traffic Collision,10,SFPD,Hayes Valley
Other,37,Cancelled,South of Market
Other,2,Other,Outer Richmond
Traffic Collision,1,Fire,North Beach
Traffic Collision,9,No Merit,Presidio
Medical Incident,1750,No Merit,Mission
Traffic Collision,6,Other,Russian Hill
Other,11,Code 2 Transport,West of Twin Peaks
Alarms,307,Fire,Presidio
Odor (Strange / Unknown),29,Fire,Mission
Other,3,Other,Castro/Upper Market
Gas Leak (Natural and LP Gases),1,Unable to Locate,Castro/Upper Market
Outside Fire,1,Other,Tenderloin
Alarms,12,Other,South of Market
Citizen Assist / Service Call,1,Other,Western Addition
Other,1,Code 2 Transport,Portola
Medical Incident,31,Unable to Locate,Oceanview/Merced/Ingleside
Vehicle Fire,2,Unable to Locate,Financial District/South Beach
Vehicle Fire,12,Fire,Mission Bay
Structure Fire,2,No Merit,Golden Gate Park
HazMat,4,Fire,Hayes Valley
Water Rescue,13,No Merit,Marina
Other,2,Unable to Locate,Mission Bay
Medical Incident,64,No Merit,Portola
Other,190,Fire,Financial District/South Beach
Other,1,Patient Declined Transport,Hayes Valley
Odor (Strange / Unknown),2,Fire,Portola
Assist Police,1,Fire,Western Addition
Elevator / Escalator Rescue,1,Other,Pacific Heights
Electrical Hazard,21,Fire,Portola
Other,56,Code 2 Transport,Mission
Other,4,Cancelled,Lone Mountain/USF
Gas Leak (Natural and LP Gases),4,No Merit,Marina
Medical Incident,68,Cancelled,Visitacion Valley
Odor (Strange / Unknown),9,Fire,West of Twin Peaks
Medical Incident,315,No Merit,West of Twin Peaks
Medical Incident,20,Other,Excelsior
Traffic Collision,2,Gone on Arrival,Hayes Valley
Other,2,Medical Examiner,Inner Richmond
Structure Fire,10,No Merit,Bernal Heights
Industrial Accidents,5,Other,West of Twin Peaks
Electrical Hazard,66,Fire,West of Twin Peaks
Vehicle Fire,7,Patient Declined Transport,Tenderloin
Medical Incident,27,SFPD,Lone Mountain/USF
Marine Fire,14,Fire,Bayview Hunters Point
Medical Incident,223,Gone on Arrival,South of Market
Other,2,SFPD,Visitacion Valley
Fuel Spill,6,Fire,Lakeshore
Outside Fire,3,No Merit,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,6,Code 2 Transport,Inner Sunset
Electrical Hazard,2,Patient Declined Transport,Outer Richmond
Alarms,9,No Merit,Presidio Heights
Traffic Collision,59,Code 3 Transport,Bernal Heights
Other,4,Against Medical Advice,West of Twin Peaks
Traffic Collision,4,Fire,Presidio Heights
Citizen Assist / Service Call,79,Fire,Pacific Heights
Outside Fire,5,Unable to Locate,Mission
Citizen Assist / Service Call,2,Cancelled,Lakeshore
Vehicle Fire,4,Unable to Locate,Potrero Hill
Traffic Collision,11,Patient Declined Transport,Visitacion Valley
Other,104,Fire,Potrero Hill
Other,3,Patient Declined Transport,Nob Hill
Electrical Hazard,1,SFPD,Russian Hill
Outside Fire,1,Unable to Locate,West of Twin Peaks
Medical Incident,1,Other,McLaren Park
HazMat,5,Fire,Nob Hill
Elevator / Escalator Rescue,27,Fire,Western Addition
Other,4,Against Medical Advice,Mission
Medical Incident,2,Other,Seacliff
Medical Incident,1549,Code 3 Transport,Tenderloin
Medical Incident,201,SFPD,South of Market
Alarms,4,Code 2 Transport,Bayview Hunters Point
Medical Incident,2,Gone on Arrival,Lone Mountain/USF
Outside Fire,1,Unable to Locate,Portola
Traffic Collision,2,Code 3 Transport,Golden Gate Park
Medical Incident,92,Medical Examiner,Pacific Heights
Medical Incident,2,Duplicate,Russian Hill
Structure Fire,152,Fire,Twin Peaks
Other,57,Fire,Chinatown
Structure Fire,21,Patient Declined Transport,Excelsior
Medical Incident,13,Other,Pacific Heights
Traffic Collision,11,Fire,Marina
Vehicle Fire,3,Patient Declined Transport,Treasure Island
Vehicle Fire,37,Fire,South of Market
Alarms,5,No Merit,Marina
Fuel Spill,1,No Merit,Treasure Island
Outside Fire,1,Other,Noe Valley
Alarms,3,Other,Mission Bay
Structure Fire,12,No Merit,Chinatown
Alarms,4,Against Medical Advice,Tenderloin
Other,1,No Merit,Twin Peaks
Citizen Assist / Service Call,1,No Merit,Japantown
Medical Incident,20,Unable to Locate,Visitacion Valley
Smoke Investigation (Outside),3,Fire,Lakeshore
Smoke Investigation (Outside),1,Unable to Locate,Excelsior
Medical Incident,9,Medical Examiner,Seacliff
Traffic Collision,5,SFPD,Sunset/Parkside
Fuel Spill,1,No Merit,Bayview Hunters Point
Other,5,Cancelled,Mission Bay
Elevator / Escalator Rescue,1,No Merit,Mission
Traffic Collision,125,Code 2 Transport,Lakeshore
Vehicle Fire,4,Cancelled,Financial District/South Beach
Medical Incident,55,Cancelled,Oceanview/Merced/Ingleside
Medical Incident,111,Code 3 Transport,Haight Ashbury
Water Rescue,180,Fire,Presidio
Outside Fire,6,Other,Treasure Island
Gas Leak (Natural and LP Gases),3,Cancelled,Castro/Upper Market
Traffic Collision,8,Cancelled,Inner Sunset
Outside Fire,6,Other,Bayview Hunters Point
Medical Incident,788,Code 2 Transport,Twin Peaks
Citizen Assist / Service Call,2,Fire,McLaren Park
Water Rescue,12,Cancelled,Outer Richmond
Medical Incident,1,Duplicate,Outer Mission
Citizen Assist / Service Call,11,Fire,Seacliff
Gas Leak (Natural and LP Gases),6,Fire,Presidio
Other,9,Patient Declined Transport,Sunset/Parkside
Traffic Collision,89,Code 3 Transport,Financial District/South Beach
Other,1,SFPD,Chinatown
Assist Police,3,Cancelled,Golden Gate Park
Fuel Spill,8,Fire,Inner Richmond
Odor (Strange / Unknown),4,No Merit,South of Market
Medical Incident,107,Patient Declined Transport,Treasure Island
Medical Incident,199,Fire,South of Market
Outside Fire,2,No Merit,Golden Gate Park
Other,1,Patient Declined Transport,Presidio Heights
Watercraft in Distress,15,Cancelled,Mission Bay
Explosion,13,Fire,Pacific Heights
Medical Incident,257,No Merit,Russian Hill
Medical Incident,9,Other,Presidio
Traffic Collision,40,Other,Mission
Smoke Investigation (Outside),32,Fire,Outer Richmond
Odor (Strange / Unknown),3,Fire,Russian Hill
Medical Incident,914,Patient Declined Transport,Bayview Hunters Point
Electrical Hazard,23,Fire,Russian Hill
Citizen Assist / Service Call,72,Code 2 Transport,Tenderloin
Traffic Collision,2,Gone on Arrival,Presidio Heights
Outside Fire,2,Code 2 Transport,Western Addition
Smoke Investigation (Outside),14,Fire,Castro/Upper Market
Other,2,SFPD,Potrero Hill
Elevator / Escalator Rescue,4,Patient Declined Transport,Tenderloin
Medical Incident,150,Patient Declined Transport,Noe Valley
Traffic Collision,133,Code 2 Transport,Outer Richmond
Medical Incident,236,Code 3 Transport,Inner Sunset
Traffic Collision,18,Patient Declined Transport,Chinatown
Other,5,Code 2 Transport,Russian Hill
Traffic Collision,2,SFPD,Presidio Heights
Gas Leak (Natural and LP Gases),46,Fire,Pacific Heights
Medical Incident,647,Cancelled,Financial District/South Beach
Alarms,330,Fire,Excelsior
Other,1,Gone on Arrival,Potrero Hill
Traffic Collision,132,Code 2 Transport,Castro/Upper Market
Traffic Collision,12,Other,West of Twin Peaks
Traffic Collision,9,No Merit,Excelsior
Traffic Collision,25,Code 3 Transport,Oceanview/Merced/Ingleside
Traffic Collision,7,Cancelled,Haight Ashbury
Outside Fire,1,Cancelled,Outer Mission
Traffic Collision,23,Other,Portola
Traffic Collision,4,Fire,Nob Hill
Medical Incident,48,Fire,Lone Mountain/USF
Traffic Collision,75,Patient Declined Transport,Potrero Hill
Other,20,Fire,Visitacion Valley
Alarms,3,No Merit,Nob Hill
Elevator / Escalator Rescue,51,Fire,Mission Bay
Structure Fire,15,Code 2 Transport,South of Market
Traffic Collision,7,Medical Examiner,Portola
Fuel Spill,12,Fire,Castro/Upper Market
Outside Fire,6,No Merit,Financial District/South Beach
Citizen Assist / Service Call,9,Fire,Presidio
Medical Incident,129,Cancelled,Bernal Heights
Gas Leak (Natural and LP Gases),6,Fire,Seacliff
Other,11,Cancelled,Western Addition
Traffic Collision,2,Gone on Arrival,Marina
Structure Fire,7,Cancelled,West of Twin Peaks
Medical Incident,38,Unable to Locate,Chinatown
Fuel Spill,10,Fire,Outer Richmond
Citizen Assist / Service Call,4,Code 2 Transport,Haight Ashbury
Gas Leak (Natural and LP Gases),1,No Merit,Hayes Valley
Fuel Spill,2,Against Medical Advice,Hayes Valley
Citizen Assist / Service Call,1,SFPD,McLaren Park
Smoke Investigation (Outside),13,Fire,Inner Richmond
Odor (Strange / Unknown),2,Fire,Outer Mission
Citizen Assist / Service Call,4,Cancelled,Castro/Upper Market
Medical Incident,215,No Merit,Outer Mission
Medical Incident,58,Unable to Locate,Potrero Hill
Citizen Assist / Service Call,2,Against Medical Advice,Noe Valley
Water Rescue,19,Fire,Seacliff
Citizen Assist / Service Call,2,Code 3 Transport,Twin Peaks
Citizen Assist / Service Call,5,Other,South of Market
Citizen Assist / Service Call,1,Cancelled,Outer Richmond
Smoke Investigation (Outside),3,Other,Bernal Heights
Electrical Hazard,36,Fire,Outer Mission
HazMat,8,Fire,Marina
Alarms,6,Other,Western Addition
Elevator / Escalator Rescue,1,Cancelled,Chinatown
Medical Incident,30,Cancelled,Golden Gate Park
Traffic Collision,14,Fire,Sunset/Parkside
Traffic Collision,126,Code 2 Transport,Inner Richmond
Traffic Collision,12,Unable to Locate,Treasure Island
Traffic Collision,39,Cancelled,Tenderloin
Alarms,3,No Merit,Sunset/Parkside
Medical Incident,12,Medical Examiner,Presidio
Assist Police,5,Fire,South of Market
Other,14,Code 2 Transport,Outer Mission
Industrial Accidents,3,Code 3 Transport,Chinatown
Administrative,2,Other,Sunset/Parkside
Gas Leak (Natural and LP Gases),2,No Merit,Japantown
Structure Fire,7,Cancelled,Mission
Traffic Collision,49,Unable to Locate,Bayview Hunters Point
Traffic Collision,10,SFPD,Marina
Medical Incident,1722,Code 2 Transport,Russian Hill
Medical Incident,19,Gone on Arrival,Potrero Hill
Other,13,Cancelled,Financial District/South Beach
Structure Fire,241,Fire,Outer Mission
Citizen Assist / Service Call,7,No Merit,Tenderloin
Other,3,Patient Declined Transport,Noe Valley
Outside Fire,3,No Merit,Western Addition
Smoke Investigation (Outside),1,Unable to Locate,Lakeshore
Other,3,Code 3 Transport,Inner Sunset
Alarms,3,Duplicate,Bayview Hunters Point
Smoke Investigation (Outside),8,Fire,Excelsior
HazMat,3,Fire,Noe Valley
Other,29,Fire,Lone Mountain/USF
Medical Incident,30,Fire,Visitacion Valley
Odor (Strange / Unknown),1,No Merit,Visitacion Valley
Alarms,10,Other,Financial District/South Beach
Citizen Assist / Service Call,3,Patient Declined Transport,Lincoln Park
Vehicle Fire,2,Unable to Locate,South of Market
Smoke Investigation (Outside),1,No Merit,Nob Hill
Traffic Collision,50,SFPD,Bayview Hunters Point
Electrical Hazard,1,Cancelled,West of Twin Peaks
Medical Incident,18,Gone on Arrival,Chinatown
Traffic Collision,9,Unable to Locate,Marina
Medical Incident,3,CHP,Inner Sunset
Gas Leak (Natural and LP Gases),2,No Merit,Inner Sunset
Traffic Collision,20,Code 3 Transport,Mission Bay
Other,218,Fire,South of Market
Other,2,Patient Declined Transport,Treasure Island
Medical Incident,62,Patient Declined Transport,Presidio Heights
Traffic Collision,26,Cancelled,North Beach
Medical Incident,28,SFPD,Chinatown
Vehicle Fire,1,Unable to Locate,Lone Mountain/USF
Traffic Collision,4,SFPD,Noe Valley
Traffic Collision,3,Gone on Arrival,Bayview Hunters Point
Elevator / Escalator Rescue,3,Fire,Oceanview/Merced/Ingleside
Alarms,698,Fire,Outer Richmond
Traffic Collision,15,No Merit,Outer Richmond
Traffic Collision,4,Cancelled,Glen Park
Medical Incident,17,SFPD,Potrero Hill
Traffic Collision,10,CHP,Oceanview/Merced/Ingleside
Other,1,No Merit,Russian Hill
Alarms,837,Fire,Castro/Upper Market
HazMat,7,Fire,Bayview Hunters Point
Traffic Collision,10,No Merit,Castro/Upper Market
Traffic Collision,124,Code 2 Transport,Excelsior
Other,6,Patient Declined Transport,Bayview Hunters Point
Other,14,Medical Examiner,Presidio
Smoke Investigation (Outside),1,No Merit,Sunset/Parkside
Vehicle Fire,44,Fire,Potrero Hill
Medical Incident,1981,Code 2 Transport,Outer Mission
Outside Fire,376,Fire,Mission
Citizen Assist / Service Call,2,Code 2 Transport,Glen Park
Other,2,Cancelled,Golden Gate Park
Gas Leak (Natural and LP Gases),5,Patient Declined Transport,Mission
Medical Incident,235,Code 3 Transport,Hayes Valley
Gas Leak (Natural and LP Gases),3,Fire,None
Structure Fire,498,Fire,Russian Hill
Traffic Collision,29,Against Medical Advice,Pacific Heights
Structure Fire,28,No Merit,South of Market
Fuel Spill,2,Fire,Excelsior
Citizen Assist / Service Call,8,Code 2 Transport,North Beach
Odor (Strange / Unknown),1,Other,Tenderloin
Citizen Assist / Service Call,2,No Merit,Haight Ashbury
Water Rescue,23,Fire,None
Elevator / Escalator Rescue,2,Patient Declined Transport,North Beach
Structure Fire,61,Code 2 Transport,Visitacion Valley
Vehicle Fire,8,Fire,Chinatown
Medical Incident,214,Cancelled,Western Addition
Gas Leak (Natural and LP Gases),2,Patient Declined Transport,Portola
Vehicle Fire,4,Against Medical Advice,Portola
Medical Incident,4,Against Medical Advice,Lincoln Park
Other,2,Cancelled,Bernal Heights
Outside Fire,39,Fire,Portola
Outside Fire,2,Other,Nob Hill
Medical Incident,153,Code 3 Transport,Japantown
Traffic Collision,11,No Merit,Inner Richmond
Medical Incident,231,Patient Declined Transport,Marina
Elevator / Escalator Rescue,2,Unable to Locate,Western Addition
Alarms,635,Fire,Inner Richmond
Outside Fire,60,Fire,West of Twin Peaks
Medical Incident,489,Against Medical Advice,Mission
Electrical Hazard,1,No Merit,Potrero Hill
Traffic Collision,20,Patient Declined Transport,Lone Mountain/USF
Medical Incident,437,Patient Declined Transport,Nob Hill
Medical Incident,27,Fire,Potrero Hill
Explosion,4,No Merit,Tenderloin
Elevator / Escalator Rescue,5,Fire,Bernal Heights
Traffic Collision,3,Fire,Noe Valley
Other,7,Medical Examiner,Pacific Heights
Alarms,9,No Merit,Noe Valley
Medical Incident,40,Fire,Chinatown
Other,3,Code 3 Transport,Tenderloin
Other,8,SFPD,South of Market
Medical Incident,2,Gone on Arrival,Visitacion Valley
Outside Fire,2,No Merit,Mission Bay
Structure Fire,10,Patient Declined Transport,Inner Richmond
High Angle Rescue,8,Code 2 Transport,Twin Peaks
Traffic Collision,22,Cancelled,Hayes Valley
Citizen Assist / Service Call,1,No Merit,Inner Sunset
Alarms,11,No Merit,Bayview Hunters Point
HazMat,5,No Merit,Castro/Upper Market
Traffic Collision,59,Fire,Bayview Hunters Point
Outside Fire,13,Fire,Lincoln Park
Citizen Assist / Service Call,20,Against Medical Advice,Sunset/Parkside
Medical Incident,62,Against Medical Advice,Portola
Medical Incident,15,SFPD,Visitacion Valley
Traffic Collision,36,Code 3 Transport,Western Addition
Gas Leak (Natural and LP Gases),4,No Merit,Tenderloin
Traffic Collision,6,Unable to Locate,Sunset/Parkside
Medical Incident,132,Against Medical Advice,West of Twin Peaks
Traffic Collision,165,Patient Declined Transport,South of Market
Traffic Collision,10,Fire,Treasure Island
Smoke Investigation (Outside),1,Unable to Locate,Castro/Upper Market
Elevator / Escalator Rescue,4,Cancelled,South of Market
Smoke Investigation (Outside),1,Unable to Locate,Outer Richmond
Citizen Assist / Service Call,1,Patient Declined Transport,West of Twin Peaks
Other,9,Cancelled,Oceanview/Merced/Ingleside
Medical Incident,912,Unable to Locate,South of Market
Medical Incident,453,Patient Declined Transport,Sunset/Parkside
Citizen Assist / Service Call,8,Code 2 Transport,Japantown
Other,2,Code 2 Transport,Twin Peaks
Vehicle Fire,6,Fire,Visitacion Valley
Medical Incident,4,Medical Examiner,None
Citizen Assist / Service Call,1,Other,Potrero Hill
Citizen Assist / Service Call,2,Patient Declined Transport,Portola
Citizen Assist / Service Call,4,Code 2 Transport,Hayes Valley
Smoke Investigation (Outside),2,No Merit,Marina
Medical Incident,96,Code 3 Transport,Glen Park
Elevator / Escalator Rescue,1,Unable to Locate,Mission Bay
Elevator / Escalator Rescue,154,Fire,Financial District/South Beach
Medical Incident,37,No Merit,Twin Peaks
Traffic Collision,4,Unable to Locate,Nob Hill
Medical Incident,26,Unable to Locate,Lone Mountain/USF
Odor (Strange / Unknown),1,Fire,Twin Peaks
Other,2,Unable to Locate,Visitacion Valley
Gas Leak (Natural and LP Gases),3,Code 2 Transport,North Beach
Electrical Hazard,9,Fire,Twin Peaks
Industrial Accidents,6,Code 3 Transport,South of Market
Gas Leak (Natural and LP Gases),6,Against Medical Advice,Presidio Heights
Assist Police,3,Fire,Potrero Hill
Citizen Assist / Service Call,2,Code 3 Transport,Outer Mission
Traffic Collision,20,No Merit,Lakeshore
Assist Police,1,Fire,Chinatown
Citizen Assist / Service Call,3,Fire,None
Medical Incident,252,Code 3 Transport,North Beach
Alarms,916,Fire,Lakeshore
Citizen Assist / Service Call,9,Patient Declined Transport,Mission
Gas Leak (Natural and LP Gases),2,Code 2 Transport,Glen Park
Medical Incident,125,Cancelled,Mission Bay
Water Rescue,47,Code 2 Transport,North Beach
Citizen Assist / Service Call,4,Against Medical Advice,Nob Hill
Medical Incident,72,Unable to Locate,Pacific Heights
Citizen Assist / Service Call,2,Code 3 Transport,Hayes Valley
Medical Incident,620,Code 2 Transport,Glen Park
Outside Fire,1,Unable to Locate,Noe Valley
Smoke Investigation (Outside),3,No Merit,Portola
Alarms,4115,Fire,Financial District/South Beach
Medical Incident,111,Cancelled,Excelsior
Elevator / Escalator Rescue,2,Patient Declined Transport,Outer Mission
Medical Incident,5,Other,Visitacion Valley
Citizen Assist / Service Call,6,Code 2 Transport,Outer Mission
Other,1,Other,Lone Mountain/USF
Traffic Collision,75,No Merit,Financial District/South Beach
Smoke Investigation (Outside),4,No Merit,West of Twin Peaks
Odor (Strange / Unknown),4,Fire,Haight Ashbury
Medical Incident,2832,Code 2 Transport,North Beach
Elevator / Escalator Rescue,1,Cancelled,Pacific Heights
Medical Incident,211,No Merit,Haight Ashbury
Fuel Spill,1,SFPD,Mission Bay
Medical Incident,57,Against Medical Advice,Presidio Heights
Alarms,5,Code 2 Transport,Mission
Elevator / Escalator Rescue,14,Fire,Lakeshore
Fuel Spill,2,Patient Declined Transport,Inner Sunset
Electrical Hazard,15,Fire,Haight Ashbury
Other,111,Fire,Presidio
Structure Fire,14,Code 3 Transport,Potrero Hill
Alarms,3,Other,Castro/Upper Market
Outside Fire,94,Fire,Sunset/Parkside
Outside Fire,4,Unable to Locate,Treasure Island
Citizen Assist / Service Call,1,Cancelled,Western Addition
Outside Fire,2,Cancelled,Tenderloin
Alarms,3,Cancelled,South of Market
Smoke Investigation (Outside),2,No Merit,Mission
Other,10,Code 2 Transport,Haight Ashbury
Structure Fire,14,Patient Declined Transport,Oceanview/Merced/Ingleside
Alarms,6,Other,Outer Richmond
Other,9,Cancelled,Castro/Upper Market
Outside Fire,10,Unable to Locate,Bayview Hunters Point
Traffic Collision,6,Cancelled,Russian Hill
Other,3,Against Medical Advice,Noe Valley
Other,3,Cancelled,Outer Richmond
Other,5,Other,South of Market
Other,1,Code 3 Transport,Twin Peaks
Citizen Assist / Service Call,2,Patient Declined Transport,Marina
Fuel Spill,9,Fire,Western Addition
Industrial Accidents,8,Code 2 Transport,Lone Mountain/USF
Alarms,64,Fire,Golden Gate Park
Medical Incident,2790,No Merit,Tenderloin
Traffic Collision,13,No Merit,Golden Gate Park
Odor (Strange / Unknown),15,Fire,Tenderloin
Explosion,8,Fire,Potrero Hill
Other,1,SFPD,Pacific Heights
Electrical Hazard,11,Fire,Tenderloin
Elevator / Escalator Rescue,3,No Merit,Bayview Hunters Point
Citizen Assist / Service Call,13,Code 2 Transport,Russian Hill
Confined Space / Structure Collapse,6,Fire,South of Market
Structure Fire,178,Fire,Glen Park
Medical Incident,102,Against Medical Advice,Marina
Traffic Collision,155,Code 2 Transport,Western Addition
Citizen Assist / Service Call,48,Fire,Visitacion Valley
Explosion,4,Fire,Chinatown
Outside Fire,3,Other,Mission
Medical Incident,7,Patient Declined Transport,Lincoln Park
Structure Fire,346,Fire,North Beach
Structure Fire,13,SFPD,Japantown
Traffic Collision,12,No Merit,Bernal Heights
Gas Leak (Natural and LP Gases),25,Fire,Chinatown
Medical Incident,5,Unable to Locate,McLaren Park
Smoke Investigation (Outside),13,Fire,Western Addition
Outside Fire,1,Other,West of Twin Peaks
Alarms,426,Fire,Bernal Heights
Outside Fire,1,No Merit,Excelsior
Alarms,3,Other,Inner Richmond
Citizen Assist / Service Call,2,Patient Declined Transport,Presidio Heights
Traffic Collision,44,Patient Declined Transport,Pacific Heights
Traffic Collision,19,Cancelled,Outer Mission
Outside Fire,71,Fire,Nob Hill
Other,2,Medical Examiner,Lone Mountain/USF
Medical Incident,59,Medical Examiner,Visitacion Valley
Medical Incident,1,Duplicate,Inner Sunset
Other,22,Code 2 Transport,Tenderloin
Other,8,Cancelled,Inner Richmond
Gas Leak (Natural and LP Gases),82,Fire,Potrero Hill
Traffic Collision,81,Against Medical Advice,South of Market
Structure Fire,4,No Merit,Pacific Heights
Medical Incident,319,Patient Declined Transport,West of Twin Peaks
Medical Incident,31,Other,Chinatown
Vehicle Fire,7,No Merit,Tenderloin
Outside Fire,51,Fire,Marina
Traffic Collision,13,Other,Noe Valley
Structure Fire,10,Patient Declined Transport,Bernal Heights
Other,1,Fire,McLaren Park
Medical Incident,1506,Code 2 Transport,Japantown
Other,8,No Merit,Hayes Valley
Medical Incident,34,Other,Potrero Hill
Outside Fire,1,SFPD,Sunset/Parkside
Medical Incident,149,Patient Declined Transport,Portola
Other,11,SFPD,Presidio
Citizen Assist / Service Call,6,Patient Declined Transport,Sunset/Parkside
Other,1,Fire,Seacliff
Citizen Assist / Service Call,2,Unable to Locate,South of Market
Elevator / Escalator Rescue,6,Fire,Inner Richmond
Smoke Investigation (Outside),1,Unable to Locate,Bernal Heights
Traffic Collision,34,Other,Treasure Island
Electrical Hazard,1,SFPD,Haight Ashbury
Medical Incident,199,Code 3 Transport,Outer Mission
Fuel Spill,5,Fire,Mission Bay
Medical Incident,3050,Code 2 Transport,Hayes Valley
Traffic Collision,14,Against Medical Advice,Lone Mountain/USF
Medical Incident,152,Against Medical Advice,Nob Hill
Outside Fire,1,Cancelled,Inner Sunset
Traffic Collision,88,Other,Bayview Hunters Point
Medical Incident,1,Duplicate,Haight Ashbury
Citizen Assist / Service Call,3,Cancelled,Mission Bay
Medical Incident,1564,Patient Declined Transport,Mission
Traffic Collision,10,Patient Declined Transport,Presidio
Traffic Collision,14,Medical Examiner,Bayview Hunters Point
Citizen Assist / Service Call,7,Patient Declined Transport,Nob Hill
Citizen Assist / Service Call,68,Fire,Potrero Hill
Traffic Collision,86,Code 2 Transport,Mission Bay
Traffic Collision,19,No Merit,Oceanview/Merced/Ingleside
Structure Fire,4,Cancelled,Treasure Island
Alarms,329,Fire,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,2,Against Medical Advice,Mission
Elevator / Escalator Rescue,10,Fire,Castro/Upper Market
Traffic Collision,44,Unable to Locate,Mission
Medical Incident,8,Unable to Locate,Presidio
Odor (Strange / Unknown),7,Fire,Inner Sunset
Medical Incident,167,No Merit,Inner Sunset
Elevator / Escalator Rescue,9,Fire,Outer Richmond
Vehicle Fire,4,Code 2 Transport,North Beach
Electrical Hazard,39,Fire,Inner Sunset
Outside Fire,11,Fire,Presidio Heights
Citizen Assist / Service Call,59,Fire,Chinatown
Structure Fire,182,Fire,Japantown
Traffic Collision,13,Code 3 Transport,Excelsior
Structure Fire,14,Cancelled,Bayview Hunters Point
Medical Incident,177,Code 3 Transport,Russian Hill
